string,string_id,image_mean,image_median,image_latent_mean,subfreq_mean,subfreq_median,subfreq_latent_mean
zaliha,1284,-0.17391995174618424,-0.056426612614760785,0.06688744639160493,0.16221640917036328,-0.30365446524382955,0.11408323125600628
glasnica,1285,0.32608004825381576,-0.056426612614760785,0.34605693837077167,-0.6377835908296365,-0.30365446524382955,-0.2433699286398272
vrpca,1286,0.8927467149204822,0.9435733873852392,-0.039762287879228086,-0.10445025749630332,-0.30365446524382955,0.07319376313100623
vrag,1287,0.6260800482538156,0.9435733873852392,0.038569421287438566,0.07371066204392651,-0.30365446524382955,0.06428480417267268
reprodukcija,1288,-0.5739199517461846,-1.0564266126147608,0.047751227537438545,-0.30445025749630306,-0.30365446524382955,-0.04270674738982727
profesor,1289,0.9927467149204818,0.9435733873852392,-0.05927348392089504,1.6288830758370305,1.6963455347561704,-0.018804376556493807
oda,1290,0.02608004825381549,-0.056426612614760785,0.24645399024577186,-0.8918065793353835,-1.3036544652438296,-0.4288508680148273
život,1291,0.02608004825381549,0.4435733873852392,0.10716813180827156,1.3288830758370298,1.6963455347561704,0.11576823156850624
iskopavanje,1292,0.059413381587148706,-0.056426612614760785,0.11058211451660505,-0.37111692416296993,-0.30365446524382955,0.014298210943506362
pokušaj,1293,-0.6739199517461842,-1.0564266126147608,-0.1276545710042285,0.7622164091703634,0.6963455347561704,0.45538009146433955
organizator,1294,0.1594133815871488,-0.056426612614760785,0.25609320472493824,0.06221640917036364,-0.30365446524382955,0.18155972219350636
cura,1295,0.9594133815871486,0.9435733873852392,-0.033764682775061505,1.52888307583703,1.6963455347561704,0.0015396342768396742
kaput,1296,-0.24058661841285112,0.9435733873852392,-0.17869649787922848,0.9288830758370303,0.6963455347561704,0.4806757372976729
polje,1297,0.9260800482538154,0.9435733873852392,-0.00647963350422831,0.49554974250369677,0.6963455347561704,0.33162272636017276
kiša,1298,0.9594133815871486,0.9435733873852392,-0.11534843027506181,0.8955497425036971,1.6963455347561704,0.17839117688100625
režim,1299,-1.040586618412851,-1.0564266126147608,-0.24833392996256176,-0.97111692416297,-1.3036544652438296,-0.438150563014827
promjena,1300,-0.40725328507951764,-1.0564266126147608,0.02277117284993846,1.0622164091703632,1.1963455347561704,0.3807110435476728
neposluh,1301,-0.7072532850795179,-1.0564266126147608,-0.1287886034000616,-0.43778359082963636,-0.30365446524382955,-0.13029200322316026
